0	1	7
7	8	1
1	2	8
8	9	2
2	3	9
9	10	3
3	4	10
10	11	4
4	5	11
11	12	5
5	6	12
12	13	6
7	8	14
14	15	8
8	9	15
15	16	9
9	10	16
16	17	10
10	11	17
17	18	11
11	12	18
18	19	12
12	13	19
19	20	13
14	15	21
21	22	15
15	16	22
22	23	16
16	17	23
23	24	17
17	18	24
24	25	18
18	19	25
25	26	19
19	20	26
26	27	20
21	22	28
28	29	22
22	23	29
29	30	23
23	24	30
30	31	24
24	25	31
31	32	25
25	26	32
32	33	26
26	27	33
33	34	27
28	29	35
35	36	29
29	30	36
36	37	30
30	31	37
37	38	31
31	32	38
38	39	32
32	33	39
39	40	33
33	34	40
40	41	34
35	36	42
42	43	36
36	37	43
43	44	37
37	38	44
44	45	38
38	39	45
45	46	39
39	40	46
46	47	40
40	41	47
47	48	41
169	170	176
176	177	170
170	171	177
177	178	171
171	172	178
178	179	172
172	173	179
179	180	173
173	174	180
180	181	174
174	175	181
181	182	175
176	177	183
183	184	177
177	178	184
184	185	178
178	179	185
185	186	179
179	180	186
186	187	180
180	181	187
187	188	181
181	182	188
188	189	182
183	184	190
190	191	184
184	185	191
191	192	185
185	186	192
192	193	186
186	187	193
193	194	187
187	188	194
194	195	188
188	189	195
195	196	189
190	191	197
197	198	191
191	192	198
198	199	192
192	193	199
199	200	193
193	194	200
200	201	194
194	195	201
201	202	195
195	196	202
202	203	196
197	198	204
204	205	198
198	199	205
205	206	199
199	200	206
206	207	200
200	201	207
207	208	201
201	202	208
208	209	202
202	203	209
209	210	203
204	205	211
211	212	205
205	206	212
212	213	206
206	207	213
213	214	207
207	208	214
214	215	208
208	209	215
215	216	209
209	210	216
216	217	210
0	1	49
49	50	1
1	2	50
50	51	2
2	3	51
51	52	3
3	4	52
52	53	4
4	5	53
53	54	5
5	6	54
54	55	6
49	50	73
73	74	50
50	51	74
74	75	51
51	52	75
75	76	52
52	53	76
76	77	53
53	54	77
77	78	54
54	55	78
78	79	55
73	74	97
97	98	74
74	75	98
98	99	75
75	76	99
99	100	76
76	77	100
100	101	77
77	78	101
101	102	78
78	79	102
102	103	79
97	98	121
121	122	98
98	99	122
122	123	99
99	100	123
123	124	100
100	101	124
124	125	101
101	102	125
125	126	102
102	103	126
126	127	103
121	122	145
145	146	122
122	123	146
146	147	123
123	124	147
147	148	124
124	125	148
148	149	125
125	126	149
149	150	126
126	127	150
150	151	127
145	146	169
169	170	146
146	147	170
170	171	147
147	148	171
171	172	148
148	149	172
172	173	149
149	150	173
173	174	150
150	151	174
174	175	151
42	43	66
66	67	43
43	44	67
67	68	44
44	45	68
68	69	45
45	46	69
69	70	46
46	47	70
70	71	47
47	48	71
71	72	48
66	67	90
90	91	67
67	68	91
91	92	68
68	69	92
92	93	69
69	70	93
93	94	70
70	71	94
94	95	71
71	72	95
95	96	72
90	91	114
114	115	91
91	92	115
115	116	92
92	93	116
116	117	93
93	94	117
117	118	94
94	95	118
118	119	95
95	96	119
119	120	96
114	115	138
138	139	115
115	116	139
139	140	116
116	117	140
140	141	117
117	118	141
141	142	118
118	119	142
142	143	119
119	120	143
143	144	120
138	139	162
162	163	139
139	140	163
163	164	140
140	141	164
164	165	141
141	142	165
165	166	142
142	143	166
166	167	143
143	144	167
167	168	144
162	163	211
211	212	163
163	164	212
212	213	164
164	165	213
213	214	165
165	166	214
214	215	166
166	167	215
215	216	167
167	168	216
216	217	168
0	7	49
49	56	7
7	14	56
56	58	14
14	21	58
58	60	21
21	28	60
60	62	28
28	35	62
62	64	35
35	42	64
64	66	42
49	56	73
73	80	56
56	58	80
80	82	58
58	60	82
82	84	60
60	62	84
84	86	62
62	64	86
86	88	64
64	66	88
88	90	66
73	80	97
97	104	80
80	82	104
104	106	82
82	84	106
106	108	84
84	86	108
108	110	86
86	88	110
110	112	88
88	90	112
112	114	90
97	104	121
121	128	104
104	106	128
128	130	106
106	108	130
130	132	108
108	110	132
132	134	110
110	112	134
134	136	112
112	114	136
136	138	114
121	128	145
145	152	128
128	130	152
152	154	130
130	132	154
154	156	132
132	134	156
156	158	134
134	136	158
158	160	136
136	138	160
160	162	138
145	152	169
169	176	152
152	154	176
176	183	154
154	156	183
183	190	156
156	158	190
190	197	158
158	160	197
197	204	160
160	162	204
204	211	162
6	13	55
55	57	13
13	20	57
57	59	20
20	27	59
59	61	27
27	34	61
61	63	34
34	41	63
63	65	41
41	48	65
65	72	48
55	57	79
79	81	57
57	59	81
81	83	59
59	61	83
83	85	61
61	63	85
85	87	63
63	65	87
87	89	65
65	72	89
89	96	72
79	81	103
103	105	81
81	83	105
105	107	83
83	85	107
107	109	85
85	87	109
109	111	87
87	89	111
111	113	89
89	96	113
113	120	96
103	105	127
127	129	105
105	107	129
129	131	107
107	109	131
131	133	109
109	111	133
133	135	111
111	113	135
135	137	113
113	120	137
137	144	120
127	129	151
151	153	129
129	131	153
153	155	131
131	133	155
155	157	133
133	135	157
157	159	135
135	137	159
159	161	137
137	144	161
161	168	144
151	153	175
175	182	153
153	155	182
182	189	155
155	157	189
189	196	157
157	159	196
196	203	159
159	161	203
203	210	161
161	168	210
210	217	168
